Name,Description,frontImage,backImage,vendorName,link,Garment Type,caption
LETTUCE-EDGE JACQUARD BERMUDA SHORTS,Relaxed-fit Bermuda shorts. Adjustable elasticated waistband with drawstring. Front pockets and back patch pocket detail.,ShortsFront19,ShortsBack19,Zara,"https://www.zara.com/eg/en/lettuce-edge-jacquard-bermuda-shorts-p05372403.html
",Shorts,adult_female champaign field orange plain skirt woman
FADED CARGO BERMUDA SHORTS,Relaxed fit Bermuda shorts. Front pockets and rear patch pockets. Patch pocket appliqués with flaps on the legs. Faded effect. Front zip fly and button fastening.,ShortsFront2,ShortsBack2,Zara,"https://www.zara.com/eg/en/faded-cargo-bermuda-shorts-p05520412.html
",Shorts,concealment cover covert fashionable free liberate loose pant print publish release screen stylish unloose unloosen
TEXTURED BERMUDA SHORTS,Relaxed fit Bermuda shorts in cotton fabric. Adjustable elasticated waist with inner drawstring. Front pockets and back welt pocket detail.,ShortsFront20,ShortsBack20,Zara,"https://www.zara.com/eg/en/textured-bermuda-shorts-p02553405.html
",Shorts,Caucasian White White_person adult_female champaign cloth fabric field material plain print publish skirt soft textile woman
OVERSIZE-FIT BERMUDA SHORTS,Oversize-fit Bermuda shorts made of a cotton and linen blend. Front pockets and back welt pockets detail. Front zip fly and concealed metal hook fastening.,ShortsFront21,ShortsBack21,Zara,"https://www.zara.com/eg/en/oversize-fit-bermuda-shorts-p04274352.html
",Shorts,Caucasian White White_person arm articulatio_radiocarpea blue blue_jean blueness carpus casual conniption denim fit free gray grayness grey greyness hand hanker insouciant jean lace lacing liberate light long loose manus mitt neckline nonchalant paw radiocarpal_joint release scene side sleeve soft spaghetti tantrum top unloose unloosen visible_light visible_radiation wear wrist wrist_joint yearn
100% LINEN CARGO BERMUDA SHORTS,Relaxed-fit Bermuda shorts made of linen. Side pockets and back welt pockets. Patch pockets on the legs. Front zip fly and top button fastening.,ShortsFront22,ShortsBack22,Zara,"https://www.zara.com/eg/en/100-linen-cargo-bermuda-shorts-p04226708.html
",Shorts,broad gray grayness grey greyness leg mid pant skinny waist waistline wide
DENIM CARGO BERMUDA SHORTS,Regular fit Bermuda shorts. Adjustable elasticated waist with drawstring. Front pockets and rear patch pockets. Patch pockets on the legs. Front zip fly and button fastening.,ShortsFront23,ShortsBack23,Zara,"https://www.zara.com/eg/en/denim-cargo-bermuda-shorts-p04060416.html
",Shorts,Ag atomic_number_47 chiffon design designing dress embellishment embroidery floral flowered frock silver skirt
VISCOSE - LINEN BERMUDA SHORTS,Bermuda shorts made of a viscose and linen blend fabric. Adjustable elasticated waistband with drawstring. Front pockets and rear patch pocket.,ShortsFront24,ShortsBack24,Zara,"https://www.zara.com/eg/en/viscose---linen-bermuda-shorts-p04432404.html
",Shorts,Marco_Polo Polo adult_female elastic elastic_band hanker long rubber_band skirt waist waistline woman yearn
LEATHER EFFECT CARGO BERMUDA SHORTS,Relaxed-fit Bermuda shorts made of leather effect fabric. Front pockets and back patch pocket. Patch pockets on the legs. Irregular trims. Front zip fly and top button fastening.,ShortsFront25,ShortsBack25,Zara,"https://www.zara.com/eg/en/leather-effect-cargo-bermuda-shorts-p05070664.html
",Shorts,adult_female blue_jean denim high jean skinny waist waistline woman
RELAXED FIT DENIM BERMUDA SHORTS,Relaxed fit denim Bermuda shorts. Front pockets and rear patch pockets. Front zip fly and button fastening.,ShortsFront26,ShortsBack26,Zara,"https://www.zara.com/eg/en/relaxed-fit-denim-bermuda-shorts-p04060415.html
",Shorts,adult_female button hanker long skirt super superintendent woman yearn
IRREGULAR JACQUARD BERMUDA SHORTS,Relaxed-fit Bermuda shorts. Matching double elasticated waistband with adjustable drawstrings. Side pockets and back patch pocket.,ShortsFront27,ShortsBack27,Zara,"https://www.zara.com/eg/en/irregular-jacquard-bermuda-shorts-p03665407.html
",Shorts,Caucasian Midi White White_person adult_female skirt woman
BERMUDA JOGGERS WITH SEAM DETAIL,Bermuda shorts featuring an adjustable elasticated waistband with drawstring. Front pockets and rear pocket. Front seams on the leg.,ShortsFront28,ShortsBack28,Zara,"https://www.zara.com/eg/en/bermuda-joggers-with-seam-detail-p05644409.html
",Shorts,black blackness broad high inkiness leg lycra waist waistline wide
VISCOSE BLEND BERMUDA SHORTS,Bermuda shorts made from viscose blend fabric. Waistband with front pleat detail. Front pocket and back welt pockets. Front zip and button fastening.,ShortsFront29,ShortsBack29,Zara,"https://www.zara.com/eg/en/viscose-blend-bermuda-shorts-p00775121.html
",Shorts,Caucasian White White_person band banding cotton cotton_fiber cotton_wool departure going going_away leaving light pink side stripe visible_light visible_radiation
LONG CARGO BERMUDA SHORTS,Relaxed fit faded long Bermuda shorts. Front pockets and back patch pockets. Patch pockets with flaps on the legs. Adjustable hems with side drawstrings. Front zip fly and button fastening.,ShortsFront3,ShortsBack3,Zara,"https://www.zara.com/eg/en/long-cargo-bermuda-shorts-p01538409.html
",Shorts,adult_female conniption fashionable fit free liberate loose partywear release scene skirt stylish tantrum unloose unloosen woman
EMBROIDERED SEERSUCKER BERMUDA SHORTS,"Regular fit Bermuda shorts featuring front pockets, rear welt pockets and contrast embroidered trim all over the garment.",ShortsFront30,ShortsBack30,Zara,"https://www.zara.com/eg/en/embroidered-seersucker-bermuda-shorts-p07200411.html
",Shorts,Midi cyberspace design designing internet net skirt
GEOMETRIC PRINT BERMUDA SHORTS - LIMITED EDITION,Wide-leg Bermuda shorts made of cotton fabric with a rustic texture. Front pleated details at the waist. Front pockets and rear pockets. Front zip fly and top button fastening.,ShortsFront33,ShortsBack33,Zara,"https://www.zara.com/eg/en/geometric-print-bermuda-shorts---limited-edition-p04571916.html
",Shorts,Caucasian White White_person adult_female design designing skirt strip woman yellow yellowness
CHECK PRINT BERMUDA SHORTS - LIMITED EDITION,Bermuda shorts made of a linen and cotton blend. Waist with front pleats. Front pockets and rear pockets. Zip fly and top button fastening.,ShortsFront34,ShortsBack34,Zara,"https://www.zara.com/eg/en/check-print-bermuda-shorts---limited-edition-p04571922.html
",Shorts,adult_female conniption design designing fit free liberate loose pant release scene strip tantrum unloose unloosen woman
FADED JOGGER BERMUDA SHORTS,,ShortsFront36,ShortsBack36,Pull&Bear,"https://www.pullandbear.com/eg/en/faded-jogger-bermuda-shorts-l03690501?cS=800&pelement=593527726
",Shorts,adult_female blue blue_jean blueness champaign cotton cotton_fiber cotton_wool denim field jean plain woman
FADED JOGGER BERMUDA SHORTS,,ShortsFront37,ShortsBack37,Pull&Bear,"https://www.pullandbear.com/eg/en/faded-jogger-bermuda-shorts-l03690501?cS=935&pelement=593527727
",Shorts,adult_female back bingle black blackness blaze_up blue blueness broad burn_up conniption cut dorsum elastic elastic_band fashion fit flame_up flare free fringe inkiness leather leg liberate light loose manner mode outer_boundary periphery pocket release rubber_band scene single skirt solid style tantrum unloose unloosen visible_light visible_radiation waist waistline way wide woman
RELAXED FIT DENIM BERMUDA SHORTS,,ShortsFront38,ShortsBack38,Pull&Bear,"https://www.pullandbear.com/eg/en/relaxed-fit-denim-bermuda-shorts-l07691510?cS=250&pelement=598023208
",Shorts,Caucasian LE White White_person arm ball formal hanker long lupus_erythematosus sleeve wear yearn
100% LINEN BERMUDA SHORTS,Regular-fit Bermuda shorts made of a linen fabric. Front pockets and rear pockets. Front zip fly and button fastening.,ShortsFront4,ShortsBack4,Zara,"https://www.zara.com/eg/en/100-linen-bermuda-shorts-p09621003.html
",Shorts,Caucasian White White_person animal animate_being beast black blackness brute conniption creature fashionable fauna fit inkiness lose_weight melt_off reduce scene shirt skirt slenderize slim slim_down stylish tantrum thin
BERMUDA SHORTS WITH CONTRAST PATCHES,Relaxed-fit Bermuda shorts with an elasticated waistband and adjustable drawstring. Side pockets and a back patch pocket. Contrast patches and embroidery.,ShortsFront5,ShortsBack5,Zara,"https://www.zara.com/eg/en/bermuda-shorts-with-contrast-patches-p02795411.html
",Shorts,blouse blue blueness color coloring colour colouring conniption different fit light lose_weight melt_off reduce scene slenderize slim slim_down tantrum thin visible_light visible_radiation
STRIPED JACQUARD BERMUDA SHORTS,Wide-leg Bermuda shorts. Elasticated waistband. Front pockets and back patch pocket detail. Front zip fly and top button fastening.,ShortsFront6,ShortsBack6,Zara,"https://www.zara.com/eg/en/striped-jacquard-bermuda-shorts-p04141391.html
",Shorts,Caucasian White White_person adult_female champaign color coloring colour colouring conniption field fit lose_weight melt_off plain reduce scene skirt slenderize slim slim_down tantrum thin woman
JACQUARD BERMUDA SHORTS,Relaxed fit Bermuda shorts. Adjustable elasticated waistband with drawstring. Side pockets and rear patch pocket.,ShortsFront7,ShortsBack7,Zara,"https://www.zara.com/eg/en/jacquard-bermuda-shorts-p04087452.html
",Shorts,back broad dorsum hanker lady leg long pink shoulder skirt spaghetti wide yearn
EMBROIDERED COTTON BERMUDA SHORTS,Relaxed fit Bermuda shorts made of cotton fabric. Adjustable elasticated waistband with drawstring. Front pockets and rear patch pocket with embroidery.,ShortsFront9,ShortsBack9,Zara,"https://www.zara.com/eg/en/embroidered-cotton-bermuda-shorts-p07521601.html
",Shorts,Caucasian White White_person adult_female fashionable stylish top woman
SLIM FIT SUIT Trouser,Slim fit Trouser with front pockets and rear welt pockets. Front zip fly and button fastening.,TrouserFront1,TrouserBack1,Zara,"https://www.zara.com/eg/en/slim-fit-suit-Trouser-p01564521.html
",Trouser,Grey Zane_Grey adult_female business_office functionary hanker long office official pant woman yearn
LOOSE FLARE FIT JEANS,Loose flare fit jeans. Five pockets. Faded effect. Front zip fly and button fastening.,TrouserFront100,TrouserBack100,Zara,"https://www.zara.com/eg/en/loose-flare-fit-jeans-p00840404.html
",Trouser,blue blueness conniption fit free liberate loose pant pocket release scene side tantrum unloose unloosen
SLIM CROPPED-FIT JEANS,Slim cropped-fit jeans. Five pockets. Faded effect. Front zip fly and button fastening.,TrouserFront101,TrouserBack101,Zara,"https://www.zara.com/eg/en/slim-cropped-fit-jeans-p08062455.html
",Trouser,black blackness champaign cloth fabric field inkiness material pant plain soft textile
OVERDYED BAGGY JEANS,Baggy-fit jeans. Five pockets. Faded effect with a coloured finish. Button fly on the front.,TrouserFront102,TrouserBack102,Zara,"https://www.zara.com/eg/en/overdyed-baggy-jeans-p03991305.html
",Trouser,arm cervix depression free half liberate loose low neck one-half pant release shoulder sleeve unloose unloosen
FLARED JEANS WITH ZIPS,Flared fit jeans. Front pockets and rear patch pockets. Adjustable legs with front zips. Front zip fly and button fastening.,TrouserFront103,TrouserBack103,Zara,"https://www.zara.com/eg/en/flared-jeans-with-zips-p00840406.html
",Trouser,band banding black blackness cloth fabric fashionable inkiness material pant side small stripe stylish textile
STRAIGHT FIT JEANS,Straight-leg jeans with five pockets. Soft washed effect. Button fly.,TrouserFront104,TrouserBack104,Zara,"https://www.zara.com/eg/en/straight-fit-jeans-p08062400.html
",Trouser,black blackness conniption cotton cotton_fiber cotton_wool fit free inkiness liberate loose pant release scene tantrum unloose unloosen
RELAXED-FIT RIPPED JEANS,Relaxed-fit jeans with a five-pocket design. Faded and ripped effect on the legs. Irregular double-effect hems. Front button fly fastening.,TrouserFront105,TrouserBack105,Zara,"https://www.zara.com/eg/en/relaxed-fit-ripped-jeans-p08062412.html
",Trouser,adult_female blue_jean conniption denim fit free jean liberate loose release scene tantrum unloose unloosen woman
SKINNY FIT JEANS,Skinny fit jeans with five pockets. Faded effect. Zip fly and top button fastening.,TrouserFront106,TrouserBack106,Zara,"https://www.zara.com/eg/en/skinny-fit-jeans-p05575420.html
",Trouser,Grey Zane_Grey adult_female bottom conniption fit free liberate loose release scene tantrum underside undersurface unloose unloosen wear woman
SLIM-FIT COMFORT JEANS,Faded slim fit jeans made of stretchy denim fabric. Five pockets. Front zip fly and top button fastening.,TrouserFront107,TrouserBack107,Zara,"https://www.zara.com/eg/en/slim-fit-comfort-jeans-p03991499.html
",Trouser,black blackness color coloring_material colour colouring_material hanker high inkiness long pant waist waistline yearn
JEANS WITH CARPENTER POCKET,Flared fit jeans. Front pockets and rear patch pockets. Faded effect. Patch pockets and multipurpose straps on the legs. Front zip fly and button fastening.,TrouserFront109,TrouserBack109,Zara,"https://www.zara.com/eg/en/jeans-with-carpenter-pocket-p03991401.html
",Trouser,ego fashionable fille girl gown miss missy offspring print self stylish young young_lady young_woman
COTTON - LINEN BLEND Trouser,Straight-fit Trouser made of a cotton and linen blend fabric. Adjustable elasticated waistband with a drawstring. Front pockets and back patch pocket detail.,TrouserFront11,TrouserBack11,Zara,"https://www.zara.com/eg/en/cotton---linen-blend-Trouser-p00706105.html
",Trouser,Caucasian White White_person back cloth detail dorsum fabric free item liberate loose material midst point red redness release simple skirt slide_fastener slit textile thick unloose unloosen zip zip_fastener zipper
RELAXED CARGO JEANS,"Relaxed fit jeans featuring front pockets, rear flap pockets, patch pocket appliqué with zip on the leg, contrast topstitching all over the garment and front zip fly and top button fastening.",TrouserFront110,TrouserBack110,Zara,"https://www.zara.com/eg/en/relaxed-cargo-jeans-p00621401.html
",Trouser,casual conniption fit free hands insouciant liberate loose manpower men nonchalant pant release scene tantrum unloose unloosen work_force workforce
WIDE-LEG JEANS,Wide-leg jeans made of vertical-textured denim. Five pockets. Faded effect. Front zip fly and top button fastening.,TrouserFront111,TrouserBack111,Zara,"https://www.zara.com/eg/en/wide-leg-jeans-p06688415.html
",Trouser,ash broad business_office cloth fabric hanker home ideal length long material office pant place side skirt soft suitable suited textile wide yearn
JEANS WITH NO SIDE SEAM,Relaxed fit jeans. Five pockets. Faded effect. Front zip fly and button fastening.,TrouserFront112,TrouserBack112,Zara,"https://www.zara.com/eg/en/jeans-with-no-side-seam-p00840481.html
",Trouser,2 II blue blue_jean blueness colored colored_person denim deuce jean pant two
SLIM FIT JEANS,Slim fit jeans. Five pockets. Faded effect. Front zip fly and button fastening.,TrouserFront114,TrouserBack114,Zara,"https://www.zara.com/eg/en/slim-fit-jeans-p00774331.html
",Trouser,fashionable free liberate loose pant partywear pocket release side stylish unloose unloosen
STRAIGHT FIT JEANS,Straight fit jeans. Five pockets. Faded effect. Front zip fly and button fastening.,TrouserFront115,TrouserBack115,Zara,"https://www.zara.com/eg/en/straight-fit-jeans-p02553416.html
",Trouser,Grey Zane_Grey design designing fashionable heterosexual heterosexual_person pant straight straight_person strip stylish tight
BARREL FIT OVERDYED JEANS,Barrel fit jeans. Five pockets. Faded effect with a colour finish. Fastens at the front with buttons.,TrouserFront116,TrouserBack116,Zara,"https://www.zara.com/eg/en/barrel-fit-overdyed-jeans-p01538418.html
",Trouser,broad casual crop insouciant leg nonchalant pant wide
FLARED FIT JEANS WITH BELTS,Flared jeans featuring an adjustable waistband with long belts in the same fabric. Front pockets at the hip. Patch pockets on the back of the legs. Faded effect. Metal eyelet appliqués all over the garment. Front zip fly and top button fastening.,TrouserFront117,TrouserBack117,Zara,"https://www.zara.com/eg/en/flared-fit-jeans-with-belts-p06688412.html
",Trouser,back black blackness conniption design designing dorsum fit free glisten glister glitter inkiness liberate loose pant pocket release scene scintillation sparkle tantrum unloose unloosen
WIDE-LEG JEANS,Wide-leg jeans. Five pockets. Faded effect. Button-up front.,TrouserFront119,TrouserBack119,Zara,"https://www.zara.com/eg/en/wide-leg-jeans-p06688417.html
",Trouser,beige ecru elastic elastic_band hanker long rubber_band skirt summer summertime yearn
WIDE-LEG COTTON - LINEN Trouser,Wide-leg Trouser made of cotton and linen. Side pockets and rear welt pockets. Front zip fly and button fastening.,TrouserFront12,TrouserBack12,Zara,"https://www.zara.com/eg/en/wide-leg-cotton---linen-Trouser-p04283352.html
",Trouser,arm button casual champaign field hanker insouciant long nonchalant pant plain red redness shirt sleeve soft wear yearn
BAGGY FIT JEANS,Baggy fit jeans. Five pockets. Faded effect. Front zip fly and button fastening.,TrouserFront120,TrouserBack120,Zara,"https://www.zara.com/eg/en/baggy-fit-jeans-p00840460.html
",Trouser,button double hanker long pant pocket side two-bagger two-base_hit two-baser yearn
BAGGY TEXTURED JEANS - LIMITED EDITION,Baggy-fit jeans. Five pockets. Faded and irregular textured-effect finish all over the garment. Front zip fly and button fastening.,TrouserFront121,TrouserBack121,Zara,"https://www.zara.com/eg/en/baggy-textured-jeans---limited-edition-p01538420.html
",Trouser,adult_female black blackness broad curve cut inkiness leg palazzo pant sheer slew slue swerve trend veer wide woman
BAGGY FIT JEANS,Baggy fit jeans. Five pockets. Faded effect. Front zip fly and button fastening.,TrouserFront122,TrouserBack122,Zara,"https://www.zara.com/eg/en/baggy-fit-jeans-p06688486.html
",Trouser,adult_female black blackness broad inkiness leg pant wide woman
SKINNY FIT JEANS,Skinny fit jeans with five pockets. Faded effect. Zip fly and top button fastening.,TrouserFront123,TrouserBack123,Zara,"https://www.zara.com/eg/en/skinny-fit-jeans-p05575320.html
",Trouser,back black blackness dorsum inkiness leather pant pocket
SPECIAL DYED JEANS,"Straight-leg jeans made of denim fabric that has undergone a special finish that makes each garment unique. For this reason, it may differ in colour from that of the photo.<br/><br/>Five pockets. Front button fastening.",TrouserFront124,TrouserBack124,Zara,"https://www.zara.com/eg/en/special-dyed-jeans-p03991410.html
",Trouser,Caucasian White White_person adult_female articulatio_genus genu human_knee knee knee_joint length skirt woman
STRAIGHT FIT FADED JEANS,"Straight-leg jeans made of denim fabric that has undergone a special finish that makes each garment unique. For this reason, it may differ in colour from that of the photo.<br/><br/>Five pockets. Ripped and faded effect. Front zip fly and button fastening.",TrouserFront126,TrouserBack126,Zara,"https://www.zara.com/eg/en/straight-fit-faded-jeans-p05585403.html
",Trouser,champaign color coloring colour colouring cut field heterosexual heterosexual_person pant parrot plain sleeveless straight straight_person
RELAXED FIT JEANS WITH POCKETS,"Faded relaxed fit jeans featuring front patch pockets, back pockets and front zip fly and top button fastening.",TrouserFront127,TrouserBack127,Zara,"https://www.zara.com/eg/en/relaxed-fit-jeans-with-pockets-p01472402.html
",Trouser,Caucasian White White_person blue blue_jean blueness conniption denim design designing fit jean line pant scene tantrum
STRAIGHT FIT JEANS,Straight fit jeans. Five pockets. Faded effect. Front zip fly and button fastening.,TrouserFront128,TrouserBack128,Zara,"https://www.zara.com/eg/en/straight-fit-jeans-p01455400.html
",Trouser,broad leg mid pant waist waistline wide
WOOL BLEND SUIT Trouser,Straight-leg Trouser made of a wool blend. Front pockets and back welt pockets. Front zip fly and top button fastening.,TrouserFront13,TrouserBack13,Zara,"https://www.zara.com/eg/en/wool-blend-suit-Trouser-p04541675.html
",Trouser,adult_female champaign design designing field functionary hanker light line long official plain side trendy visible_light visible_radiation voguish woman yearn
RIPPED SKINNY JEANS,Skinny jeans. Five pockets. Faded and ripped effect on the legs. Front zip fly and button fastening.,TrouserFront130,TrouserBack130,Zara,"https://www.zara.com/eg/en/ripped-skinny-jeans-p08062349.html
",Trouser,Grey Zane_Grey adult_female coarse-textured free liberate loose pant release rough-textured textured unloose unloosen woman
BAGGY FIT JEANS - LIMITED EDITION,Baggy fit jeans. Five pockets. Faded effect. Front zip fly and button fastening.,TrouserFront131,TrouserBack131,Zara,"https://www.zara.com/eg/en/baggy-fit-jeans---limited-edition-p03991480.html
",Trouser,back black blackness dorsum inkiness pant pocket
SLIM FIT JEANS,Slim fit jeans. Five pockets. Faded effect. Front zip fly and button fastening.,TrouserFront132,TrouserBack132,Zara,"https://www.zara.com/eg/en/slim-fit-jeans-p04060411.html
",Trouser,adult_female black blackness inkiness iota pant scintilla shred skinny smidge smidgen smidgeon smidgin tittle whit woman
BAGGY FIT JEANS,Baggy fit jeans. Five pockets. Faded effect. Front zip fly and button fastening.,TrouserFront133,TrouserBack133,Zara,"https://www.zara.com/eg/en/baggy-fit-jeans-p08062482.html
",Trouser,adult_female brown brownness conniption fit free liberate light loose pant release scene tantrum trouser unloose unloosen visible_light visible_radiation woman
WIDE-LEG JEANS,Faded wide fit jeans. Five pockets. Front zip fly and button fastening.,TrouserFront134,TrouserBack134,Zara,"https://www.zara.com/eg/en/wide-leg-jeans-p03991430.html
",Trouser,Grey Zane_Grey adult_female blue_jean bottom denim elastic elastic_band jean pant rubber_band underside undersurface waist waistline woman
SLIM FIT JEANS,Slim fit jeans. Five pockets. Faded effect. Front zip fly and button fastening.,TrouserFront135,TrouserBack135,Zara,"https://www.zara.com/eg/en/slim-fit-jeans-p06688405.html
",Trouser,adult_female black blackness blue blue_jean blueness denim inkiness jean woman
STRAIGHT FIT JEANS,Straight fit jeans with five pockets. Faded effect. Front button fastening.,TrouserFront136,TrouserBack136,Zara,"https://www.zara.com/eg/en/straight-fit-jeans-p08062320.html
",Trouser,adult_female black blackness conniption fit free inkiness liberate loose pant release scene tantrum unloose unloosen woman
CROPPED SLIM JEANS,Slim fit jeans. Five pockets. Faded effect. Cropped length. Front button fastening.,TrouserFront137,TrouserBack137,Zara,"https://www.zara.com/eg/en/cropped-slim-jeans-p08062375.html
",Trouser,adult_female blue blue_jean blueness denim jacket jean short woman
FLARED FIT CARGO JEANS,Flared fit jeans. Patch pockets with flaps on the hip. Patch pockets on the legs. Faded effect. Adjustable hems with zips. Front crossover button and zip fly fastening.,TrouserFront138,TrouserBack138,Zara,"https://www.zara.com/eg/en/flared-fit-cargo-jeans-p06688411.html
",Trouser,adult_female gold jogger waist waistline woman
SKINNY FIT JEANS,Skinny fit jeans. Five pockets. Faded effect. Cropped length. Front zip fly and button fastening.,TrouserFront139,TrouserBack139,Zara,"https://www.zara.com/eg/en/skinny-fit-jeans-p00840425.html
",Trouser,adult_female blue_jean broad denim jean pant waist waistline wide woman
ABSTRACT PRINT Trouser - LIMITED EDITION,Straight-leg Trouser made of a linen and cotton blend fabric. Adjustable elasticated waistband with inner drawstring. Front pockets and back welt pockets.,TrouserFront14,TrouserBack14,Zara,"https://www.zara.com/eg/en/abstract-print-Trouser---limited-edition-p04610917.html
",Trouser,blue blueness hanker lady length long pant print publish trouser yearn
UTILITY JEANS WITH POCKETS,Baggy fit jeans. Front pockets and rear patch pockets. Faded effect. Patch pockets on the legs. Front zip fly and button fastening.,TrouserFront140,TrouserBack140,Zara,"https://www.zara.com/eg/en/utility-jeans-with-pockets-p00840415.html
",Trouser,blue blueness departure going going_away leaving nylon pant
UTILITY JEANS WITH POCKETS,Straight-leg jeans. Front welt pockets and back patch pockets. Multifunctional leg pockets. Faded effect. Front zip fly.,TrouserFront141,TrouserBack141,Zara,"https://www.zara.com/eg/en/utility-jeans-with-pockets-p05585400.html
",Trouser,Caucasian White White_person aught cipher cypher detail goose_egg item mid nada naught nil nix nothing null pant point rise side simple zero zilch zip zippo
COMFORT KNIT JOGGING TROUSERS,,TrouserFront142,TrouserBack142,Pull&Bear,"https://www.pullandbear.com/eg/en/comfort-knit-jogging-trousers-l03678702?cS=800&pelement=594310935
",Trouser,black blackness champaign conniption cotton cotton_fiber cotton_wool field fit free inkiness liberate loose pant plain release scene shoulder strap tantrum trouser unloose unloosen
STANDARD FIT JOGGERS,,TrouserFront143,TrouserBack143,Pull&Bear,"https://www.pullandbear.com/eg/en/standard-fit-joggers-l08678508?cS=800&pelement=593527883
",Trouser,Midi bend crease crimp electric electric_automobile electric_car flexure fold pleat plication ruffle skirt thigh
TECHNICAL TRACKSUIT JOGGERS,,TrouserFront144,TrouserBack144,Pull&Bear,"https://www.pullandbear.com/eg/en/technical-tracksuit-joggers-l07676510?cS=809&pelement=593546573
",Trouser,back black blackness dorsum inkiness pant pocket wool woolen woollen
RIPPED STANDARD FIT JEANS,,TrouserFront146,TrouserBack146,Pull&Bear,"https://www.pullandbear.com/eg/en/ripped-standard-fit-jeans-l03688503?cS=712
",Trouser,adult_female black blackness bottom conniption fit inkiness lose_weight melt_off reduce scene slenderize slim slim_down tantrum thin underside undersurface wear woman
WIDE-LEG TROUSERS,,TrouserFront147,TrouserBack147,Pull&Bear,"https://www.pullandbear.com/eg/en/wideleg-trousers-l07676521?cS=700&pelement=594750082
",Trouser,adult_female elegant gray grayness grey greyness pant trim trimness woman wool woolen woollen
CARGO TROUSERS WITH POCKETS AND CONTRAST SEAMS,,TrouserFront148,TrouserBack148,Pull&Bear,"https://www.pullandbear.com/eg/en/cargo-trousers-with-pockets-and-contrast-seams-l07676506?cS=700&pelement=593527876
",Trouser,adult_female black blackness blue_jean denim inkiness jean woman
RIPPED SUPER SKINNY JEANS,,TrouserFront149,TrouserBack149,Pull&Bear,"https://www.pullandbear.com/eg/en/ripped-super-skinny-jeans-l08684525?cS=712&pelement=598023202
",Trouser,Caucasian White White_person adult_female short skirt woman
TECHNICAL TRAINING Trouser,Trouser made of lightweight and breathable technical fabric.<br/><br/>- Elastic waistband with logo detail.<br/>- Side zip pockets.<br/>- Adjustable hems with side zips. <br/>- Printed logo detail.<br/><br/>Zara Athleticz.,TrouserFront15,TrouserBack15,Zara,"https://www.zara.com/eg/en/technical-training-Trouser-p01943403.html
",Trouser,adult_female black blackness color coloring_material colour colouring_material inkiness jacket woman
SLIM FIT JEANS,,TrouserFront150,TrouserBack150,Pull&Bear,"https://www.pullandbear.com/eg/en/slim-fit-jeans-l04683509?cS=250&pelement=598023204
",Trouser,adult_female blue_jean conniption denim fashionable fit free jean liberate loose partywear release scene stylish tantrum unloose unloosen woman
SUPER BAGGY JEANS,,TrouserFront151,TrouserBack151,Pull&Bear,"https://www.pullandbear.com/eg/en/super-baggy-jeans-l07688526?cS=712&pelement=602604295
",Trouser,broad champaign field pant plain trouser wide
LIMITED EDITION Trouser WITH BELT,Straight-leg stretch cotton Trouser. Waist with contrast belt detail. Front pleats. Front pockets and patch back pockets. Front zip fly and button fastening.,TrouserFront16,TrouserBack16,Zara,"https://www.zara.com/eg/en/limited-edition-Trouser-with-belt-p04584997.html
",Trouser,adult_female conniption fashionable fit free liberate loose partywear release scene skirt stylish tantrum unloose unloosen woman
COTTON - LINEN Trouser,Trouser made of a cotton and 16% linen blend. Elasticated waistband with adjustable drawstring. Front pockets and back welt pockets.,TrouserFront17,TrouserBack17,Zara,"https://www.zara.com/eg/en/cotton---linen-Trouser-p06917414.html
",Trouser,Caucasian White White_person blue blueness cream decoration fashionable form hanker long ornament ornamentation partywear pattern pick shape shirt side stylish yearn
SLIM FIT SUIT Trouser,Slim fit Trouser in viscose blend fabric. Front pleated details at the waist. Front pockets and back welt pockets. Front zip and button fastening.,TrouserFront19,TrouserBack19,Zara,"https://www.zara.com/eg/en/slim-fit-suit-Trouser-p04240493.html
",Trouser,adult_female fashionable pant partywear red redness stylish trouser woman
COTTON Trouser,Trouser made of cotton fabric. Adjustable elasticated waistband with drawstring. Front pockets and back patch pockets.,TrouserFront2,TrouserBack2,Zara,"https://www.zara.com/eg/en/cotton-Trouser-p04254423.html
",Trouser,Caucasian White White_person arm back broad button champaign cloth curve cut detail dorsum fabric field gold hanker item lady leg linen long material pant plain point sheer shirt sleeve slew slit slue swerve textile trend veer wide yearn
SUIT TUXEDO Trouser,Straight fit Trouser with front pockets and rear welt pockets. Zip fly and button fastening.,TrouserFront20,TrouserBack20,Zara,"https://www.zara.com/eg/en/suit-tuxedo-Trouser-p08897675.html
",Trouser,black blackness bottom champaign cotton cotton_fiber cotton_wool field inkiness plain sleeveless underside undersurface wear
PLEATED LYOCELL - MODAL Trouser,Straight-leg Trouser made of a lyocell and modal fabric. Front pleated details at the waist. Front pockets and rear welt pockets. Front zip fly and button fastening.,TrouserFront21,TrouserBack21,Zara,"https://www.zara.com/eg/en/pleated-lyocell---modal-Trouser-p04223405.html
",Trouser,Caucasian White White_person back curve cut dorsum embellishment embroidery lace lacing lady red redness sheer shirt side slew slit slue swerve trend veer vino wine
BELTED Trouser,Wide-leg Trouser. Waistband with belt detail in the same fabric. Side pockets and a rear pockets. Hidden metal hook and zip fly fastening on the front.,TrouserFront22,TrouserBack22,Zara,"https://www.zara.com/eg/en/belted-Trouser-p06861404.html
",Trouser,adult_female downlike downy flossy fluffy karate shirt skirt woman
